Game Number,Current Step,Result Step,Cost,RTP,Game Crush Point,Redistributed Crush Point
177,14,24,56.86,177.72,20,32
178,0,8,3.85,120.97,2,9
179,0,8,3.85,120.97,1,10
180,0,8,3.85,120.97,1,11
181,0,6,3.85,82.35,2,16
182,3,9,6.86,82.35,10,N/A
184,0,7,3.85,99.81,1,15
184,10,14,26.35,56.05,15,N/A
187,0,10,3.85,177.72,1,12
188,0,7,3.85,99.81,5,9
189,0,10,3.85,177.72,1,18
189,13,19,46.91,82.35,18,23
190,0,7,3.85,99.81,1,10
191,1,9,4.67,120.97,16,N/A
191,10,18,26.35,120.97,16,43
191,19,27,148.73,120.97,43,N/A
194,0,7,3.85,99.81,7,12
195,0,47,3.85,218794.99,3,49
196,6,10,12.21,56.05,9,11
197,0,3,3.85,46.25,2,12
198,0,7,3.85,99.81,1,12
198,10,17,26.35,99.81,12,20
198,18,28,122.71,177.72,20,31
199,0,9,3.85,146.62,1,10
200,0,8,3.85,120.97,3,16
200,14,22,56.86,120.97,16,26
201,0,5,3.85,67.94,8,N/A
201,6,15,12.21,146.62,8,20
204,3,11,6.86,120.97,13,N/A
205,0,8,3.85,120.97,2,12
206,0,4,3.85,56.05,4,7
207,0,7,3.85,99.81,1,12
208,0,8,3.85,120.97,1,19
208,11,18,31.93,99.81,19,N/A
209,1,6,4.67,67.94,14,N/A
209,9,16,21.74,99.81,14,30
209,17,23,101.24,82.35,30,N/A
210,0,7,3.85,99.81,2,15
212,1,9,4.67,120.97,3,13
212,11,18,31.93,99.81,13,21
212,19,27,148.73,120.97,21,31
213,0,7,3.85,99.81,3,10
215,2,11,5.66,146.62,24,N/A
215,12,17,38.70,67.94,24,N/A
215,18,26,122.71,120.97,24,38
216,0,6,3.85,82.35,1,7
218,0,8,3.85,120.97,10,N/A
220,3,9,6.86,82.35,5,17
220,11,21,31.93,177.72,17,26
221,0,11,3.85,215.40,1,12
222,1,8,4.67,99.81,8,9
223,0,3,3.85,46.25,2,9
225,10,18,26.35,120.97,32,N/A
226,0,8,3.85,120.97,1,15
226,11,15,31.93,56.05,15,16
227,0,10,3.85,177.72,3,14
229,0,8,3.85,120.97,3,17
229,10,18,26.35,120.97,17,25
230,0,7,3.85,99.81,4,10
231,0,9,3.85,146.62,6,10
232,0,8,3.85,120.97,4,12
232,11,20,31.93,146.62,12,21
233,0,6,3.85,82.35,5,9
233,8,16,17.93,120.97,9,20
236,0,12,3.85,261.08,5,16
238,3,10,6.86,99.81,5,11
241,0,8,3.85,120.97,7,11
242,0,4,3.85,56.05,6,N/A
244,1,8,4.67,99.81,18,N/A
244,11,21,31.93,177.72,18,25
245,3,13,6.86,177.72,7,14
246,0,6,3.85,82.35,2,8
248,0,8,3.85,120.97,8,16
248,10,20,26.35,177.72,16,35
249,0,8,3.85,120.97,25,N/A
249,14,23,56.86,146.62,25,N/A
250,0,9,3.85,146.62,2,10
251,1,9,4.67,120.97,2,12
251,11,19,31.93,120.97,12,21
253,0,7,3.85,99.81,3,19
254,0,8,3.85,120.97,2,11
255,1,6,4.67,67.94,5,18
255,7,15,14.80,120.97,18,N/A
256,1,11,4.67,177.72,6,15
256,12,21,38.70,146.62,15,22
257,1,4,4.67,46.25,6,N/A
257,5,12,10.07,99.81,6,13
258,2,10,5.66,120.97,6,11
259,0,8,3.85,120.97,18,N/A
259,17,29,101.24,261.08,18,37
261,0,4,3.85,56.05,2,8
263,0,8,3.85,120.97,2,15
263,11,18,31.93,99.81,15,28
264,0,5,3.85,67.94,1,7
265,0,7,3.85,99.81,6,21
265,10,13,26.35,46.25,21,N/A
267,0,9,3.85,146.62,1,10
272,0,4,3.85,56.05,6,N/A
273,0,10,3.85,177.72,3,24
274,0,8,3.85,120.97,6,11
274,9,17,21.74,120.97,11,23
274,18,26,122.71,120.97,23,27
275,0,7,3.85,99.81,5,16
275,11,18,31.93,99.81,16,19
276,0,3,3.85,46.25,6,N/A
277,0,8,3.85,120.97,6,12
279,0,8,3.85,120.97,5,9
280,2,10,5.66,120.97,4,17
280,12,15,38.70,46.25,17,N/A
280,16,24,83.53,120.97,17,30
282,0,8,3.85,120.97,7,13
282,11,19,31.93,120.97,13,20
285,0,6,3.85,82.35,6,11
285,7,12,14.80,67.94,11,18
285,13,19,46.91,82.35,18,27
286,0,8,3.85,120.97,4,12
286,11,14,31.93,46.25,12,20
287,0,3,3.85,46.25,3,4
288,0,3,3.85,46.25,10,N/A
290,0,3,3.85,46.25,5,N/A
292,0,9,3.85,146.62,5,10
293,0,8,3.85,120.97,7,16
294,0,6,3.85,82.35,1,20
294,15,21,68.92,82.35,20,29
295,0,8,3.85,120.97,2,11
296,3,11,6.86,120.97,5,14
297,1,8,4.67,99.81,39,N/A
297,9,17,21.74,120.97,39,N/A
297,18,21,122.71,46.25,39,N/A
298,0,5,3.85,67.94,5,8
300,0,9,3.85,146.62,7,19
301,0,8,3.85,120.97,2,9
302,0,7,3.85,99.81,25,N/A
303,0,7,3.85,99.81,11,N/A
304,2,12,5.66,177.72,6,16
304,13,20,46.91,99.81,16,26
305,3,7,6.86,56.05,11,N/A
308,0,6,3.85,82.35,12,N/A
310,0,7,3.85,99.81,2,8
311,0,8,3.85,120.97,5,24
311,14,22,56.86,120.97,24,N/A
313,0,7,3.85,99.81,1,18
313,17,25,101.24,120.97,18,38
314,0,10,3.85,177.72,5,16
314,13,18,46.91,67.94,16,22
316,1,7,4.67,82.35,5,9
319,1,5,4.67,56.05,3,6
320,0,11,3.85,215.40,1,15
322,0,7,3.85,99.81,14,N/A
323,0,8,3.85,120.97,4,11
324,2,9,5.66,99.81,4,11
325,3,11,6.86,120.97,10,13
326,0,6,3.85,82.35,22,N/A
326,16,24,83.53,120.97,22,30
327,0,8,3.85,120.97,6,9
328,3,11,6.86,120.97,4,19
328,17,23,101.24,82.35,19,35
329,0,8,3.85,120.97,2,10
330,0,11,3.85,215.40,13,N/A
330,12,21,38.70,146.62,13,26
331,0,8,3.85,120.97,1,15
331,10,18,26.35,120.97,15,21
331,19,23,148.73,56.05,21,42
332,0,8,3.85,120.97,12,N/A
334,1,8,4.67,99.81,3,19
334,10,17,26.35,99.81,19,N/A
334,18,31,122.71,316.44,19,32
335,0,8,3.85,120.97,1,11
336,0,6,3.85,82.35,2,9
338,0,9,3.85,146.62,7,21
338,15,22,68.92,99.81,21,27
339,0,13,3.85,316.44,5,16
339,14,24,56.86,177.72,16,28
340,0,8,3.85,120.97,6,13
344,0,6,3.85,82.35,8,N/A
345,9,17,21.74,120.97,14,18
346,1,13,4.67,261.08,3,16
346,14,21,56.86,99.81,16,25
347,0,8,3.85,120.97,3,14
351,3,10,6.86,99.81,9,13
352,0,8,3.85,120.97,16,N/A
352,14,19,56.86,67.94,16,35
354,0,8,3.85,120.97,14,N/A
355,0,4,3.85,56.05,2,10
356,0,6,3.85,82.35,17,N/A
357,0,3,3.85,46.25,2,4
359,0,3,3.85,46.25,1,10
364,0,6,3.85,82.35,1,18
364,9,16,21.74,99.81,18,N/A
364,17,23,101.24,82.35,18,24
365,0,6,3.85,82.35,4,9
367,5,12,10.07,99.81,7,13
368,3,13,6.86,177.72,14,N/A
370,0,4,3.85,56.05,7,N/A
371,6,12,12.21,82.35,9,14
372,0,7,3.85,99.81,6,13
374,0,8,3.85,120.97,3,9
375,3,10,6.86,99.81,11,N/A
376,0,7,3.85,99.81,6,15
376,13,19,46.91,82.35,15,21
377,3,13,6.86,177.72,5,17
377,14,21,56.86,99.81,17,22
378,0,4,3.85,56.05,14,N/A
378,10,16,26.35,82.35,14,20
379,0,8,3.85,120.97,14,N/A
380,0,6,3.85,82.35,5,8
381,0,9,3.85,146.62,6,22
381,12,20,38.70,120.97,22,N/A
382,0,8,3.85,120.97,4,16
382,11,19,31.93,120.97,16,33
383,0,6,3.85,82.35,3,7
387,0,3,3.85,46.25,4,N/A
388,0,8,3.85,120.97,6,11
389,0,9,3.85,146.62,3,17
389,15,19,68.92,56.05,17,22
391,3,9,6.86,82.35,7,11
391,10,17,26.35,99.81,11,18
392,1,9,4.67,120.97,2,11
393,1,5,4.67,56.05,2,9
393,6,14,12.21,120.97,9,20
393,17,24,101.24,99.81,20,26
394,1,8,4.67,99.81,3,26
394,9,15,21.74,82.35,26,N/A
394,16,23,83.53,99.81,26,N/A
395,3,11,6.86,120.97,4,12
396,0,8,3.85,120.97,2,13
397,3,12,6.86,146.62,4,16
398,2,10,5.66,120.97,7,12
399,2,9,5.66,99.81,4,10
402,0,10,3.85,177.72,2,16
402,13,23,46.91,177.72,16,24
403,0,10,3.85,177.72,3,20
403,11,16,31.93,67.94,20,N/A
403,18,26,122.71,120.97,20,41
404,0,9,3.85,146.62,6,11
407,0,8,3.85,120.97,5,24
407,18,29,122.71,215.40,24,40
408,0,8,3.85,120.97,10,N/A
409,0,8,3.85,120.97,2,9
410,0,6,3.85,82.35,3,13
410,9,15,21.74,82.35,13,16
412,0,7,3.85,99.81,5,23
412,11,17,31.93,82.35,23,N/A
412,18,26,122.71,120.97,23,43
414,0,8,3.85,120.97,1,15
414,14,19,56.86,67.94,15,22
416,0,13,3.85,316.44,1,21
416,14,23,56.86,146.62,21,25
417,1,9,4.67,120.97,6,13
418,0,8,3.85,120.97,5,15
419,1,9,4.67,120.97,3,10
420,6,12,12.21,82.35,8,31
420,15,20,68.92,67.94,31,N/A
421,0,3,3.85,46.25,3,6
425,0,8,3.85,120.97,3,17
427,0,13,3.85,316.44,20,N/A
428,0,13,3.85,316.44,5,14
429,0,12,3.85,261.08,12,16
429,13,20,46.91,99.81,16,21
430,2,10,5.66,120.97,4,18
430,12,20,38.70,120.97,18,23
431,0,7,3.85,99.81,4,12
432,0,8,3.85,120.97,7,12
432,9,15,21.74,82.35,12,18
432,16,24,83.53,120.97,18,26
434,0,6,3.85,82.35,5,7
436,3,45,6.86,83642.74,5,49
437,1,7,4.67,82.35,3,8
438,0,9,3.85,146.62,9,11
439,0,11,3.85,215.40,3,15
440,0,5,3.85,67.94,1,9
442,3,13,6.86,177.72,6,17
443,0,7,3.85,99.81,19,N/A
443,14,19,56.86,67.94,19,39
448,3,8,6.86,67.94,21,N/A
448,11,19,31.93,120.97,21,N/A
452,0,5,3.85,67.94,1,6
454,0,6,3.85,82.35,3,8
454,7,13,14.80,82.35,8,15
454,14,20,56.86,82.35,15,34
455,0,7,3.85,99.81,8,N/A
456,0,8,3.85,120.97,3,9
458,0,3,3.85,46.25,9,N/A
460,3,12,6.86,146.62,8,16
460,15,22,68.92,99.81,16,23
464,0,7,3.85,99.81,6,17
465,0,6,3.85,82.35,3,8
466,0,6,3.85,82.35,4,10
469,0,7,3.85,99.81,1,12
470,3,11,6.86,120.97,6,20
470,14,18,56.86,56.05,20,N/A
471,1,7,4.67,82.35,5,9
472,0,8,3.85,120.97,3,10
472,9,17,21.74,120.97,10,25
472,18,25,122.71,99.81,25,28
473,0,7,3.85,99.81,1,14
473,10,16,26.35,82.35,14,27
473,17,27,101.24,177.72,27,30
474,0,8,3.85,120.97,2,18
474,11,19,31.93,120.97,18,21
475,2,10,5.66,120.97,13,N/A
475,12,20,38.70,120.97,13,41
476,0,6,3.85,82.35,4,7
477,0,8,3.85,120.97,3,12
477,9,15,21.74,82.35,12,20
477,16,22,83.53,82.35,20,23
478,2,12,5.66,177.72,5,17
478,13,16,46.91,46.25,17,N/A
479,0,6,3.85,82.35,3,15
479,7,14,14.80,99.81,15,N/A
480,0,7,3.85,99.81,4,8
481,0,6,3.85,82.35,1,17
482,10,18,26.35,120.97,17,20
483,0,10,3.85,177.72,4,20
483,13,21,46.91,120.97,20,24
484,0,5,3.85,67.94,1,6
485,0,4,3.85,56.05,5,N/A
486,0,8,3.85,120.97,2,11
487,0,6,3.85,82.35,14,N/A
488,3,10,6.86,99.81,7,11
490,0,8,3.85,120.97,2,20
490,10,23,26.35,316.44,20,26
491,0,9,3.85,146.62,16,N/A
492,0,8,3.85,120.97,9,N/A
493,0,8,3.85,120.97,5,11
494,1,8,4.67,99.81,4,14
494,9,13,21.74,56.05,14,N/A
496,0,4,3.85,56.05,1,5
497,3,8,6.86,67.94,5,12
498,2,6,5.66,56.05,5,7
499,0,10,3.85,177.72,1,18
499,16,23,83.53,99.81,18,29
500,0,10,3.85,177.72,4,13
500,12,22,38.70,177.72,13,32
501,0,9,3.85,146.62,4,11
502,0,8,3.85,120.97,4,16
503,0,7,3.85,99.81,6,14
503,10,15,26.35,67.94,14,17
505,2,12,5.66,177.72,5,15
505,13,26,46.91,316.44,15,29
506,0,9,3.85,146.62,8,11
508,0,10,3.85,177.72,9,12
509,0,8,3.85,120.97,5,15
509,11,19,31.93,120.97,15,23
510,0,8,3.85,120.97,2,10
512,6,14,12.21,120.97,7,19
512,17,24,101.24,99.81,19,30
514,6,14,12.21,120.97,7,25
517,0,4,3.85,56.05,5,N/A
519,0,10,3.85,177.72,4,12
521,0,8,3.85,120.97,9,N/A
522,0,3,3.85,46.25,3,13
522,4,12,8.31,120.97,13,N/A
523,0,7,3.85,99.81,6,13
523,8,15,17.93,99.81,13,23
523,17,25,101.24,120.97,23,26
524,0,8,3.85,120.97,1,12
525,0,8,3.85,120.97,6,14
525,11,19,31.93,120.97,14,21
526,0,8,3.85,120.97,17,N/A
527,3,10,6.86,99.81,17,N/A
527,13,20,46.91,99.81,17,22
528,0,7,3.85,99.81,7,25
528,10,18,26.35,120.97,25,N/A
529,0,7,3.85,99.81,3,15
530,0,9,3.85,146.62,1,16
531,0,8,3.85,120.97,1,22
531,14,20,56.86,82.35,22,N/A
533,1,9,4.67,120.97,6,14
533,11,14,31.93,46.25,14,22
533,15,27,68.92,261.08,22,36
535,0,6,3.85,82.35,1,11
536,0,6,3.85,82.35,3,10
537,0,8,3.85,120.97,1,14
537,9,17,21.74,120.97,14,21
537,18,24,122.71,82.35,21,29
539,0,5,3.85,67.94,3,10
539,6,14,12.21,120.97,10,15
541,10,17,26.35,99.81,12,19
544,2,10,5.66,120.97,5,23
544,11,16,31.93,67.94,23,N/A
544,19,29,148.73,177.72,23,30
545,0,4,3.85,56.05,2,21
545,6,13,12.21,99.81,21,N/A
545,14,21,56.86,99.81,21,22
546,6,12,12.21,82.35,13,N/A
547,0,8,3.85,120.97,1,11
548,3,11,6.86,120.97,10,12
549,0,5,3.85,67.94,6,N/A
550,1,9,4.67,120.97,9,21
550,10,17,26.35,99.81,21,N/A
550,18,24,122.71,82.35,21,25
551,0,13,3.85,316.44,5,27
551,16,20,83.53,56.05,27,N/A
553,3,11,6.86,120.97,12,N/A
554,0,8,3.85,120.97,1,10
554,9,16,21.74,99.81,10,18
557,0,5,3.85,67.94,3,9
557,7,19,14.80,261.08,9,22
561,0,4,3.85,56.05,13,N/A
561,7,16,14.80,146.62,13,30
563,0,10,3.85,177.72,3,11
564,0,8,3.85,120.97,6,22
565,0,4,3.85,56.05,4,7
566,0,5,3.85,67.94,1,12
566,11,19,31.93,120.97,12,22
568,0,4,3.85,56.05,2,14
568,7,11,14.80,56.05,14,N/A
570,0,13,3.85,316.44,20,N/A
573,0,7,3.85,99.81,1,10
574,0,8,3.85,120.97,5,12
575,0,7,3.85,99.81,6,14
575,10,18,26.35,120.97,14,19
577,0,7,3.85,99.81,1,9
578,0,6,3.85,82.35,3,8
580,0,8,3.85,120.97,2,11
581,0,8,3.85,120.97,1,10
582,0,4,3.85,56.05,2,6
583,0,8,3.85,120.97,1,9
585,6,14,12.21,120.97,16,N/A
587,0,3,3.85,46.25,1,4
588,1,12,4.67,215.40,4,16
588,13,18,46.91,67.94,16,29
590,0,6,3.85,82.35,7,N/A
591,0,8,3.85,120.97,10,N/A
591,9,17,21.74,120.97,10,20
591,19,28,148.73,146.62,20,32
592,0,8,3.85,120.97,5,9
594,0,8,3.85,120.97,1,9
595,2,7,5.66,67.94,12,N/A
595,8,18,17.93,177.72,12,20
595,19,28,148.73,146.62,20,29
597,0,9,3.85,146.62,3,24
597,15,23,68.92,120.97,24,N/A
598,3,11,6.86,120.97,8,12
599,0,10,3.85,177.72,4,17
600,1,9,4.67,120.97,5,11
601,3,10,6.86,99.81,5,16
601,11,17,31.93,82.35,16,26
601,18,26,122.71,120.97,26,27
602,0,8,3.85,120.97,5,15
603,0,8,3.85,120.97,13,N/A
603,11,19,31.93,120.97,13,21
605,0,9,3.85,146.62,5,12
606,2,9,5.66,99.81,8,10
607,6,14,12.21,120.97,10,19
607,17,23,101.24,82.35,19,28
608,0,7,3.85,99.81,13,N/A
609,0,10,3.85,177.72,4,15
610,3,11,6.86,120.97,15,N/A
612,6,14,12.21,120.97,7,28
612,17,20,101.24,46.25,28,N/A
613,0,5,3.85,67.94,3,8
614,0,9,3.85,146.62,3,10
615,0,6,3.85,82.35,4,8
616,0,6,3.85,82.35,5,14
616,12,21,38.70,146.62,14,23
617,0,9,3.85,146.62,5,14
620,2,12,5.66,177.72,14,N/A
621,0,6,3.85,82.35,1,12
621,9,19,21.74,177.72,12,21
622,0,8,3.85,120.97,1,9
623,0,8,3.85,120.97,3,13
625,0,8,3.85,120.97,2,12
627,10,18,26.35,120.97,21,N/A
628,6,13,12.21,99.81,15,N/A
629,0,8,3.85,120.97,1,15
630,3,11,6.86,120.97,8,17
630,14,21,56.86,99.81,17,25
631,1,9,4.67,120.97,21,N/A
631,11,15,31.93,56.05,21,N/A
631,16,23,83.53,99.81,21,26
633,2,10,5.66,120.97,4,15
633,13,21,46.91,120.97,15,22
634,0,10,3.85,177.72,3,11
635,0,8,3.85,120.97,2,11
637,10,16,26.35,82.35,11,25
638,0,8,3.85,120.97,7,9
639,0,6,3.85,82.35,7,N/A
640,0,8,3.85,120.97,1,15
640,14,21,56.86,99.81,15,29
641,0,11,3.85,215.40,7,12
642,0,10,3.85,177.72,6,18
642,16,24,83.53,120.97,18,30
643,1,5,4.67,56.05,2,15
643,14,20,56.86,82.35,15,23
644,1,6,4.67,67.94,11,N/A
644,8,17,17.93,146.62,11,24
644,18,30,122.71,261.08,24,32
645,0,7,3.85,99.81,3,8
646,0,13,3.85,316.44,2,14
647,0,8,3.85,120.97,9,N/A
648,0,8,3.85,120.97,12,N/A
648,11,16,31.93,67.94,12,23
648,19,24,148.73,67.94,23,28
649,3,11,6.86,120.97,6,22
649,12,20,38.70,120.97,22,N/A
650,0,13,3.85,316.44,3,19
651,10,18,26.35,120.97,15,28
652,1,5,4.67,56.05,12,N/A
652,8,11,17.93,46.25,12,N/A
653,0,6,3.85,82.35,8,N/A
656,0,5,3.85,67.94,3,6
659,0,8,3.85,120.97,3,11
660,0,5,3.85,67.94,7,N/A
662,2,9,5.66,99.81,9,19
662,10,15,26.35,67.94,19,N/A
662,16,20,83.53,56.05,19,26
663,1,6,4.67,67.94,6,8
664,0,8,3.85,120.97,3,11
666,0,8,3.85,120.97,1,14
666,11,18,31.93,99.81,14,19
669,0,6,3.85,82.35,6,10
669,9,12,21.74,46.25,10,13
670,0,7,3.85,99.81,3,10
671,0,8,3.85,120.97,5,14
671,11,15,31.93,56.05,14,20
672,10,16,26.35,82.35,12,18
673,0,8,3.85,120.97,14,N/A
673,11,23,31.93,261.08,14,25
674,0,7,3.85,99.81,16,N/A
675,0,10,3.85,177.72,18,N/A
675,11,20,31.93,146.62,18,30
676,0,7,3.85,99.81,4,8
677,0,8,3.85,120.97,1,27
678,0,6,3.85,82.35,2,7
680,2,8,5.66,82.35,3,10
683,0,8,3.85,120.97,1,18
683,9,14,21.74,67.94,18,N/A
683,15,24,68.92,146.62,18,26
684,2,7,5.66,67.94,14,N/A
684,8,16,17.93,120.97,14,19
684,17,25,101.24,120.97,19,33
686,0,10,3.85,177.72,2,25
686,16,24,83.53,120.97,25,N/A
688,0,8,3.85,120.97,6,9
689,0,6,3.85,82.35,5,8
689,7,17,14.80,177.72,8,18
690,0,4,3.85,56.05,12,N/A
690,7,13,14.80,82.35,12,15
691,0,8,3.85,120.97,1,9
693,1,4,4.67,46.25,7,N/A
693,5,12,10.07,99.81,7,15
694,3,14,6.86,215.40,4,17
696,0,9,3.85,146.62,15,N/A
696,11,18,31.93,99.81,15,29
696,19,24,148.73,67.94,29,N/A
697,6,15,12.21,146.62,11,16
701,1,9,4.67,120.97,4,16
701,10,20,26.35,177.72,16,32
702,0,8,3.85,120.97,1,20
703,0,6,3.85,82.35,9,N/A
704,0,8,3.85,120.97,1,10
705,0,9,3.85,146.62,1,18
705,13,26,46.91,316.44,18,29
706,0,3,3.85,46.25,4,N/A
708,0,6,3.85,82.35,7,N/A
709,0,6,3.85,82.35,3,7
710,0,3,3.85,46.25,7,N/A
712,0,6,3.85,82.35,7,N/A
715,6,11,12.21,67.94,7,17
715,14,21,56.86,99.81,17,31
716,1,9,4.67,120.97,3,10
718,0,6,3.85,82.35,9,N/A
719,3,10,6.86,99.81,6,14
719,13,21,46.91,120.97,14,22
720,0,10,3.85,177.72,7,12
721,0,6,3.85,82.35,15,N/A
721,7,13,14.80,82.35,15,N/A
722,2,11,5.66,146.62,14,N/A
722,12,22,38.70,177.72,14,31
723,0,7,3.85,99.81,12,N/A
723,10,15,26.35,67.94,12,16
